status,lead_time,lenght_of_stay,adult_count,child_count,available_units,completed_entry_forms_count,product_count,reservation_net_value,total_adr,espera_dias,espera_zona_roja,ratio_asistencia,recurrence,libere_community,bought_products,returning_inhabitant,mes_estancia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,status_num,origin_direct_channel,origin_email,origin_in_person,origin_telephone,requested_category_Hostel room,requested_category_One bedroom apartment,requested_category_One bedroom apartment superior,requested_category_Studio,requested_category_Studio superior,requested_category_Three bedroom apartment,requested_category_Three bedroom apartment superior,requested_category_Two bedroom apartment,requested_category_Two bedroom apartment superior,asset_type_apartment,asset_type_hostel,brand_libere,business_segment_Business Individual,business_segment_Leisure Group,business_segment_Leisure Individual,business_segment_MICE Group,business_segment_MICE Individual,business_segment_Mid Stay,business_segment_Travel Group,business_segment_Travel Individual,rate_type_Mid Stay,rate_type_Non Refundable,estacion_estancia_Otoño,estacion_estancia_Primavera,estacion_estancia_Verano,provincia_BIZKAIA,provincia_CORDOBA,provincia_GIPUZKOA,provincia_GRANADA,provincia_MADRID,provincia_MALAGA,provincia_NAVARRA,provincia_VALENCIA
checked_out,36,1,1,0,135,1.0,0,15.92,15.92,35,0,1.0,4,no,no,yes,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,11,9,1,0,135,1.0,0,117.78,13.09,10,0,1.0,2,yes,no,yes,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,102,6,2,4,135,2.0,8,755.65,125.94,101,0,3.0,1,no,yes,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,99,1,2,2,135,2.0,1,186.37,186.37,99,1,2.0,1,no,yes,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,75,1,4,0,135,4.0,0,77.02,77.02,75,1,1.0,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,37,1,2,1,135,0.0,0,74.4,74.4,36,0,,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
cancelled,36,2,3,0,135,0.0,0,57.55,28.78,36,1,,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,30,1,2,2,135,2.0,1,86.98,86.98,29,0,2.0,1,no,yes,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,28,2,1,0,135,1.0,0,27.69,13.85,27,0,1.0,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,21,7,2,0,135,0.0,0,37.61,5.37,21,1,,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
