ubicacion,fecha,puntuacion,titulo_comentario,comentario_negativo,comentario_positivo,etiquetas,cantidad_comentarios,nacionalidad
Vitoria,Escrito en 22 de diciembre de 2025,"8,0",Juan,"Las habitaciones, se suponía que constaba el apartamento de dos habitaciones grandes y eso no fue lo que encontramos",La ubicación,Viaje de ocio | Grupo | Apartamento de 2 dormitorios | Estancia de 1 noche,2 comentarios,España
Vitoria,Escrito en 21 de diciembre de 2025,10,Isaac,,"Alojamiento genial. Cocina completamente equipada, lavadora, microondas con grill. Baño nuevo, todo impecable.",Viaje de ocio | Familia con niños pequeños | Apartamento Estudio | Estancia de 3 noches | Enviado por móvil,,
Vitoria,Escrito en 12 de diciembre de 2025,"7,0",Montero,"No me gustó pagar un precio de 4 personas por un apartamento, y que tengan un sofá cama, que menos mal que íbamos personas jóvenes, porque sino, es imposible dormir ahí, por lo incómodo que era. Y tampoco me gustó el parking, ya que es un añadido a la reserva, no es barato a mi parecer, y el primer día que llegamos un poco mas tarde, nos las vimos y nos las deseamos para poder aparcar.","Lo que mas me gustó fue la ubicación ya que no estabas en pleno centro, pero muy cerquita para llegar andando.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 3 noches | Enviado por móvil,4 comentarios,España
Vitoria,Escrito en 11 de diciembre de 2025,"7,0",Gómez,"En mi reserva pone escritorio, y no tuve, viajo por trabajo y era una necesidad, tuve que trabajar en la encimera de la isla de la cocina con sillas altas sin respaldo y he acabado con dolor de espalda.Tampoco había tostadora. Compre algo de pan para tostar y no lo pude hacer en la tostadora.",,Viaje de negocios | Persona que viaja sola | Apartamento Estudio | Estancia de 2 noches,3 comentarios,España
Vitoria,Escrito en 10 de diciembre de 2025,"9,0",Cristina,Lo único malo fue que el nórdico del sofá cama era de 90cm cuando la cama era mucho más ancha,"Ubicación excelente. Muy limpio, la cama muy cómoda.
La cocina pequeña pero tenía de todo, hasta lavavajillas y lavadora
Luminoso",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 3 noches | Enviado por móvil,19 comentarios,España
Vitoria,Escrito en 8 de diciembre de 2025,10,Manuel,Almohadas,Limpieza y decoración,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,7 comentarios,España
Vitoria,Escrito en 8 de diciembre de 2025,"8,0",Jose,"El tener que hacer el check-in uno mismo, aunque no me resulto complicado, creo que seria mucho mejor el que habria alguna persona para poder hacerlo .El tener la salida a las 11h, normalmente las salida suele ser entre las 12 y 13 horas, aunque comprendo que hay que realizar limpieza, pero una hora mas estaria muy bien. Y el no tener una consigna o un lugar para poder dejar maletas, bien como servicio del alojamiento o bien de pago.","Me gusto, la limpieza, centrico. A 10 minutos ( o menos) del centro historico. Servicios como ( supermercado, cafeterias, restaurantes)  a 1 minuto",Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 2 noches,4 comentarios,España
Vitoria,Escrito en 8 de diciembre de 2025,"7,0",Elalbarracin,El olor a humo de la habitación. Pero como no hay recepción no puedes protestar a nadie.,Buena ubicación. Los baños perfectos. Las camas bien. El sofá cama una castaña.,Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 2 noches | Enviado por móvil,46 comentarios,España
Vitoria,Escrito en 7 de diciembre de 2025,"8,0",Gemma,"Hacía muchísima calor, aunque es diciembre pero en el apartamento hacía mucha calor .. por todo para mi fué perfecto ! Lo único la calefacción demasiado alta","Todo, la ubicación, lo fácil que es acceder y lo bien comunicado que está con todo",Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,13 comentarios,España
Vitoria,Escrito en 3 de diciembre de 2025,"9,0",Ane,"Al ser el octavo piso las ventanas solo se abre en batiente, por lo que pasamos un poco de calor.",Centrico y acogedor.,Viaje de negocios | Pareja | Apartamento de 1 dormitorio | Estancia de 5 noches | Enviado por móvil,30 comentarios,España
